Task,fNIRS_mean,fNIRS_sd,eye_mean,eye_sd
WM,0.0882168784737587,0.020920511956585595,0.9117831289768219,0.0209204505101655
SR,0.08296184428036213,0.004166891927431407,0.917038157582283,0.004166843998406348
LI,0.4777182787656784,0.026967274176296914,0.5222817212343216,0.026967296136877476
EF,0.310862772166729,0.0034452510445180016,0.6891372501850128,0.0034452114409179698
VA,0.4174092635512352,0.022927076449804688,0.582590714097023,0.02292703533893596
Overall,0.25264011695981026,0.010318887364387437,0.7473599016666412,0.010318897672011109
