participant,task,ROI,eye_metric,observed_r,observed_lag_s,null_r_median,null_r_95,p_val,significant
2,EF,Broca,Pupil diameter left smoothed,0.4134269181564398,14.7,0.46774567613508955,0.5531112468537044,0.9203980099502488,False
2,EF,DLPFC,Pupil diameter left smoothed,0.443873473540303,9.2,0.4668427402619414,0.48752247793440256,0.8308457711442786,False
2,EF,FEF,Pupil diameter left smoothed,0.5305360793781115,2.9,0.44437292896313507,0.5812664924657408,0.3781094527363184,False
2,EF,FPA,Pupil diameter left smoothed,0.4298870424076735,-1.65,0.4504825003781008,0.4901299462467109,0.7562189054726368,False
2,EF,OC,Pupil diameter left smoothed,0.49008910381772236,2.9,0.4078803869270326,0.5070358469735576,0.3333333333333333,False
2,EF,PMC,Pupil diameter left smoothed,0.47291775182013257,2.9,0.3647009660142564,0.5120794285065673,0.19900497512437812,False
2,EF,PreM,Pupil diameter left smoothed,0.4729443786952063,-8.5,0.44264308890174275,0.4815504910221355,0.09950248756218906,False
2,EF,SSC,Pupil diameter left smoothed,0.42023833342662176,-9.65,0.403969218716154,0.43825424032881066,0.14925373134328357,False
2,EF,TC,Pupil diameter left smoothed,0.3248584890332085,14.7,0.38656431731910956,0.6099373624085281,0.9303482587064676,False
2,EF,Broca,Pupil diameter right smoothed,0.6304272176819079,2.85,0.5962958561111593,0.6488235846096992,0.14925373134328357,False
2,EF,DLPFC,Pupil diameter right smoothed,0.5069626163499316,0.0,0.7139123184141107,0.7648287978746537,0.8407960199004975,False
2,EF,FEF,Pupil diameter right smoothed,0.6270168281770071,2.9,0.7358990104556198,0.8198253025209216,0.7512437810945274,False
2,EF,FPA,Pupil diameter right smoothed,0.6390720719777259,-2.25,0.7296599252217094,0.7828894156259509,0.7114427860696517,False
2,EF,OC,Pupil diameter right smoothed,0.5644130817464342,-8.15,0.7570690419982103,0.7932200842857323,0.8009950248756219,False
2,EF,PMC,Pupil diameter right smoothed,0.649952294082457,2.9,0.6716124307426066,0.8062182338277725,0.7164179104477612,False
2,EF,PreM,Pupil diameter right smoothed,0.49600490493368415,-10.15,0.7204735592808504,0.7821002868053537,0.9203980099502488,False
2,EF,SSC,Pupil diameter right smoothed,0.4744958845219033,-10.4,0.5317867565972969,0.6041615115837113,1.0,False
2,EF,TC,Pupil diameter right smoothed,0.7599469208703302,1.95,0.5357358163829209,0.7608408973776928,0.05970149253731343,False
2,EF,Broca,Pupil diameter average,0.29196246442018225,-12.95,0.2760996274173369,0.3709431798188411,0.4228855721393035,False
2,EF,DLPFC,Pupil diameter average,0.3625441190062805,-3.05,0.38088214003106596,0.419581383161422,0.8059701492537313,False
2,EF,FEF,Pupil diameter average,0.37794160832770046,9.4,0.28769168562697756,0.3853515158015982,0.0845771144278607,False
2,EF,FPA,Pupil diameter average,0.3088049524689752,9.4,0.33809440279328046,0.3781980661128617,0.9353233830845771,False
2,EF,OC,Pupil diameter average,0.40496584399645497,2.9,0.34554354601703674,0.3749021959517372,0.009950248756218905,True
2,EF,PMC,Pupil diameter average,0.3969729286126567,9.4,0.2848788027773294,0.3606858316732233,0.009950248756218905,True
2,EF,PreM,Pupil diameter average,0.30869982672247853,-2.45,0.3530791073065235,0.4105686822070647,1.0,False
2,EF,SSC,Pupil diameter average,0.30965631651769643,-10.85,0.3144659033861724,0.3747468604022156,0.582089552238806,False
2,EF,TC,Pupil diameter average,0.2797446897066331,-12.55,0.35012196372002147,0.4470173698458687,0.8756218905472637,False
2,EF,Broca,fixation_count,0.44256971093083075,-0.65,0.5786740387076886,0.6214671718712332,1.0,False
2,EF,DLPFC,fixation_count,0.4888156355609427,-8.95,0.6093689512782948,0.6302428854472627,0.9950248756218906,False
2,EF,FEF,fixation_count,0.38928018215443033,-2.35,0.5730695665187008,0.6185985151230035,1.0,False
2,EF,FPA,fixation_count,0.5063861702875897,-9.4,0.6110876614919976,0.65395493605905,1.0,False
2,EF,OC,fixation_count,0.4679210362159048,-15.0,0.6009290251948742,0.6249216928199122,1.0,False
2,EF,PMC,fixation_count,0.39090986674265055,-1.85,0.5641053191084633,0.6208799358284919,1.0,False
2,EF,PreM,fixation_count,0.47560661985167285,-8.15,0.5850077011230032,0.6151578972888546,0.9950248756218906,False
2,EF,SSC,fixation_count,0.3318717315921513,-15.0,0.5700761425822647,0.6114673436676302,1.0,False
2,EF,TC,fixation_count,0.4808496623067942,-4.9,0.5443591812920159,0.6244428034935513,0.9701492537313433,False
2,EF,Broca,fixation_duration_sum,0.40575608281425496,-0.75,0.5860148682334064,0.6143017769541007,1.0,False
2,EF,DLPFC,fixation_duration_sum,0.4420736057843892,-9.0,0.5967643788911947,0.62598314645215,1.0,False
2,EF,FEF,fixation_duration_sum,0.35661705488599216,12.55,0.5844197092325241,0.6107980597124192,1.0,False
2,EF,FPA,fixation_duration_sum,0.45967249547701317,-9.45,0.6037238469355011,0.6461954117251056,1.0,False
2,EF,OC,fixation_duration_sum,0.42072897811262233,-15.0,0.5975183049820425,0.6177871584826553,1.0,False
2,EF,PMC,fixation_duration_sum,0.35927138289459465,11.7,0.5679290866231204,0.6084332235224954,1.0,False
2,EF,PreM,fixation_duration_sum,0.4285220031556163,-8.15,0.5802827986975223,0.6104593545194332,1.0,False
2,EF,SSC,fixation_duration_sum,0.30878192836004875,4.55,0.566912396685288,0.6005557036701185,1.0,False
2,EF,TC,fixation_duration_sum,0.4339668825786443,-4.95,0.5322677206254541,0.6149868611162568,1.0,False
2,EF,Broca,saccade_count,0.5414199782829844,12.2,0.48811203116273844,0.5461816365342489,0.05970149253731343,False
2,EF,DLPFC,saccade_count,0.6074256365240007,8.35,0.5521139614063801,0.6133554735589166,0.21890547263681592,False
2,EF,FEF,saccade_count,0.6388021759218958,9.4,0.6445092993650643,0.6710162231612579,0.5671641791044776,False
2,EF,FPA,saccade_count,0.6324852940094752,6.9,0.5911215977521429,0.6540053995778804,0.3582089552238806,False
2,EF,OC,saccade_count,0.6948644303528613,0.25,0.6406868801493628,0.6687409395449856,0.029850746268656716,True
2,EF,PMC,saccade_count,0.6249256403402594,9.4,0.6508227476337862,0.6885391833382462,0.681592039800995,False
2,EF,PreM,saccade_count,0.5711444169062364,8.65,0.557022925044948,0.5860877627862695,0.26865671641791045,False
2,EF,SSC,saccade_count,0.4637112601954954,-1.35,0.4528630878164229,0.5094377517362227,0.31840796019900497,False
2,EF,TC,saccade_count,0.4858089612857169,11.15,0.5323968600716283,0.6127526079393996,0.8706467661691543,False
2,EF,Broca,saccade_speed,0.6081956768014808,4.55,0.5454562565500138,0.7267952559077262,0.27860696517412936,False
2,EF,DLPFC,saccade_speed,0.5649227281751208,2.0,0.6501719189654177,0.6999183638718453,0.8905472636815921,False
2,EF,FEF,saccade_speed,0.6544525556962209,2.9,0.5731531623604356,0.6859565293654366,0.35323383084577115,False
2,EF,FPA,saccade_speed,0.5858577968544357,-0.15,0.6189714222593814,0.675632000410581,0.6169154228855721,False
2,EF,OC,saccade_speed,0.5306549523581433,-5.2,0.6342450858872275,0.6812177282646299,0.9253731343283582,False
2,EF,PMC,saccade_speed,0.6174513199120178,2.9,0.5677280681949335,0.6516011077774315,0.373134328358209,False
2,EF,PreM,saccade_speed,0.5988137088371547,-8.5,0.6454659482008136,0.7243383256195076,0.6616915422885572,False
2,EF,SSC,saccade_speed,0.5108825162868467,-8.5,0.5319902491126955,0.6064606284776606,0.7512437810945274,False
2,EF,TC,saccade_speed,0.6015263433652251,4.25,0.49144169304659047,0.7102062868706667,0.24875621890547264,False
2,EF,Broca,saccade_peak_speed,0.4381409764110753,-6.7,0.6222121327932004,0.6860261512183745,0.8059701492537313,False
2,EF,DLPFC,saccade_peak_speed,0.46342241517992955,7.5,0.6061737320620336,0.6624403923107469,0.9651741293532339,False
2,EF,FEF,saccade_peak_speed,0.4259525780561191,7.5,0.609972504931367,0.6602941006398101,0.9601990049751243,False
2,EF,FPA,saccade_peak_speed,0.5175717348865925,6.9,0.6692050146094748,0.7115918720457041,0.900497512437811,False
2,EF,OC,saccade_peak_speed,0.5892133078320917,-0.15,0.6338770834372625,0.704815098210189,0.6865671641791045,False
2,EF,PMC,saccade_peak_speed,0.4948595742751457,5.6,0.6048791107632399,0.6297489053768337,0.7611940298507462,False
2,EF,PreM,saccade_peak_speed,0.4214610364219114,8.35,0.5590842231624753,0.6227402743000371,1.0,False
2,EF,SSC,saccade_peak_speed,0.48027937141160665,0.2,0.5491807307705016,0.6199027192691154,0.7512437810945274,False
2,EF,TC,saccade_peak_speed,0.46953477607859573,-6.85,0.6054625257868717,0.7019647983595875,0.8557213930348259,False
2,EF,Broca,IPA,0.6468075591443171,11.75,0.5830651607631214,0.6463488870069185,0.05472636815920398,False
2,EF,DLPFC,IPA,0.6474303367958871,8.2,0.6131732589455872,0.6819760177116386,0.30845771144278605,False
2,EF,FEF,IPA,0.7516883184310643,-0.65,0.7051543458010512,0.7494284033639287,0.009950248756218905,True
2,EF,FPA,IPA,0.67555049955937,6.8,0.6826427020573298,0.7275786399888017,0.6368159203980099,False
2,EF,OC,IPA,0.7377991095450256,0.15,0.7119984394473982,0.7544768159264359,0.16417910447761194,False
2,EF,PMC,IPA,0.727623871917984,-1.35,0.6999554486559858,0.7333381198474714,0.19402985074626866,False
2,EF,PreM,IPA,0.6539812221849447,-1.85,0.5920382031216813,0.6808044477971493,0.12935323383084577,False
2,EF,SSC,IPA,0.5956523262015366,-0.65,0.551075560102525,0.6301734571377795,0.16417910447761194,False
2,EF,TC,IPA,0.588720767041151,11.1,0.6124040014061595,0.7524812065681767,0.5373134328358209,False
2,EF,Broca,LHIPA,0.42669920912085196,-6.25,0.48291462991675116,0.48537094636525335,0.6915422885572139,False
2,EF,DLPFC,LHIPA,0.5359955182326667,-9.65,0.47555078308455506,0.4933735037863967,0.004975124378109453,True
2,EF,FEF,LHIPA,0.5576399056912321,4.9,0.5665471512694656,0.5872962665203667,0.5572139303482587,False
2,EF,FPA,LHIPA,0.5013599088252412,-10.8,0.46488218058243136,0.4794457489785244,0.004975124378109453,True
2,EF,OC,LHIPA,0.44028561275890804,6.4,0.43862063199489354,0.469077546491578,0.4975124378109453,False
2,EF,PMC,LHIPA,0.5902563418396624,4.1,0.5831323688982258,0.6050031824761324,0.0845771144278607,False
2,EF,PreM,LHIPA,0.5098688377155234,-8.9,0.4608303388926256,0.4664376497001193,0.004975124378109453,True
2,EF,SSC,LHIPA,0.5036288264105799,5.35,0.4185083926587549,0.4314628137759609,0.004975124378109453,True
2,EF,TC,LHIPA,0.5391172804880813,0.55,0.3848873608637918,0.6378647818419614,0.208955223880597,False
2,VA,Broca,Pupil diameter left smoothed,0.4478424055625435,12.55,0.456450413409499,0.5768937203087418,0.6567164179104478,False
2,VA,DLPFC,Pupil diameter left smoothed,0.44373689366607916,15.0,0.38072684328640627,0.4575196430799088,0.31840796019900497,False
2,VA,FEF,Pupil diameter left smoothed,0.48259326813952697,7.8,0.4892971351562562,0.5341027469278965,0.6368159203980099,False
2,VA,FPA,Pupil diameter left smoothed,0.5410767701455194,8.25,0.5400396652389297,0.5556486932924249,0.48756218905472637,False
2,VA,OC,Pupil diameter left smoothed,0.6479153085583339,7.95,0.5244366818101321,0.6567853715483318,0.14427860696517414,False
2,VA,PMC,Pupil diameter left smoothed,0.5735373153190247,15.0,0.5430547142323404,0.5828787420653136,0.15422885572139303,False
2,VA,PreM,Pupil diameter left smoothed,0.5137359030196967,14.65,0.47593048075646277,0.5204863255537396,0.21393034825870647,False
2,VA,SSC,Pupil diameter left smoothed,0.47136155697209625,14.65,0.4584365594146528,0.5077797112512116,0.4079601990049751,False
2,VA,TC,Pupil diameter left smoothed,0.5069337600711764,3.0,0.5109989277749877,0.6319665347741384,0.6019900497512438,False
2,VA,Broca,Pupil diameter right smoothed,0.5239846344225046,12.2,0.6294685612757623,0.7136220622527019,0.9303482587064676,False
2,VA,DLPFC,Pupil diameter right smoothed,0.3829500491395176,4.3,0.36539712429241866,0.45306952772647113,0.39800995024875624,False
2,VA,FEF,Pupil diameter right smoothed,0.6889657535660938,4.3,0.6108702945753834,0.6765964131249932,0.004975124378109453,True
2,VA,FPA,Pupil diameter right smoothed,0.5047196098918391,-3.7,0.4729572851873008,0.5574696869839364,0.20398009950248755,False
2,VA,OC,Pupil diameter right smoothed,0.5872869004764159,6.85,0.4641606541693829,0.5552507185497167,0.004975124378109453,True
2,VA,PMC,Pupil diameter right smoothed,0.6392218679771008,2.55,0.5812214592531348,0.6412806279401593,0.07462686567164178,False
2,VA,PreM,Pupil diameter right smoothed,0.4955084142746921,13.5,0.42339930507902573,0.4876875804066389,0.004975124378109453,True
2,VA,SSC,Pupil diameter right smoothed,0.45360867253189374,13.3,0.3917726517316387,0.4719389431248079,0.11442786069651742,False
2,VA,TC,Pupil diameter right smoothed,0.504128609490512,-9.2,0.6152325734745054,0.6772342506128081,0.9054726368159204,False
2,VA,Broca,Pupil diameter average,0.46482399713629025,12.55,0.48428859326543316,0.5367259147370789,0.6915422885572139,False
2,VA,DLPFC,Pupil diameter average,0.43021658173121646,15.0,0.2912925676865907,0.42845097351903577,0.004975124378109453,True
2,VA,FEF,Pupil diameter average,0.5148511624727508,7.15,0.48101577961201913,0.538902354202996,0.3283582089552239,False
2,VA,FPA,Pupil diameter average,0.5238528901933233,8.05,0.46284052167910633,0.5213569070582754,0.004975124378109453,True
2,VA,OC,Pupil diameter average,0.6308912779337421,7.9,0.507389570405202,0.6241310635151014,0.004975124378109453,True
2,VA,PMC,Pupil diameter average,0.5513736069084937,15.0,0.48132014627368236,0.5484292128259377,0.004975124378109453,True
2,VA,PreM,Pupil diameter average,0.5197261142113937,14.4,0.43089068657507734,0.5180550330918277,0.004975124378109453,True
2,VA,SSC,Pupil diameter average,0.4783399950270497,14.5,0.4389327004170401,0.46286259165918237,0.004975124378109453,True
2,VA,TC,Pupil diameter average,0.42541953228030355,3.0,0.4597468300544748,0.5435638136084247,0.8905472636815921,False
2,VA,Broca,fixation_count,0.25635832813488474,13.6,0.3112966062387917,0.36868413851220583,0.7164179104477612,False
2,VA,DLPFC,fixation_count,0.3632196798662215,8.75,0.2897983878053188,0.34887151815385564,0.004975124378109453,True
2,VA,FEF,fixation_count,0.4562560814334517,9.1,0.35878425541898656,0.41634864034885005,0.004975124378109453,True
2,VA,FPA,fixation_count,0.3165301589569027,1.45,0.2857633490894003,0.33512181635507193,0.15920398009950248,False
2,VA,OC,fixation_count,0.4341971759485944,9.2,0.3368062563818062,0.4134251389323784,0.004975124378109453,True
2,VA,PMC,fixation_count,0.3472882545515823,8.75,0.3055558085026265,0.34835609906529397,0.07960199004975124,False
2,VA,PreM,fixation_count,0.3059398312249742,15.0,0.28839244933002134,0.4077730896634332,0.263681592039801,False
2,VA,SSC,fixation_count,0.26371593322871034,15.0,0.30118486141430595,0.35052357082159635,0.7512437810945274,False
2,VA,TC,fixation_count,0.22130033775029367,2.7,0.28638459827190954,0.3501485812070771,0.7412935323383084,False
2,VA,Broca,fixation_duration_sum,0.323844696545043,0.0,0.18751034427119873,0.23525128886544072,0.004975124378109453,True
2,VA,DLPFC,fixation_duration_sum,0.3647096966193039,0.35,0.3157678459343295,0.3656068768492665,0.06965174129353234,False
2,VA,FEF,fixation_duration_sum,0.35597842476953495,8.85,0.25277911609737885,0.2972904248058914,0.004975124378109453,True
2,VA,FPA,fixation_duration_sum,0.2889699949888288,0.75,0.29966325851973125,0.3301830637695673,0.5970149253731343,False
2,VA,OC,fixation_duration_sum,0.3717808458065,0.6,0.3184540391168946,0.3509549991881001,0.004975124378109453,True
2,VA,PMC,fixation_duration_sum,0.2667416113525233,8.75,0.2958181000916328,0.3434135254157061,0.8208955223880597,False
2,VA,PreM,fixation_duration_sum,0.257115024374975,-11.4,0.33144755679399096,0.37966880897829697,0.746268656716418,False
2,VA,SSC,fixation_duration_sum,0.2664949520017802,-11.25,0.3071684528332701,0.3922335167007235,0.7412935323383084,False
2,VA,TC,fixation_duration_sum,0.26864371822041966,1.95,0.20754022838396807,0.2433665979162139,0.014925373134328358,True
2,VA,Broca,saccade_count,0.5711562564294795,0.0,0.3498754547877276,0.4879748462353473,0.004975124378109453,True
2,VA,DLPFC,saccade_count,0.27891952752214405,0.0,0.40922954435702696,0.4781572242856526,0.6218905472636815,False
2,VA,FEF,saccade_count,0.25744744759403604,8.75,0.37960414580420204,0.4488908096362464,0.9154228855721394,False
2,VA,FPA,saccade_count,0.30719769589263535,7.75,0.3954942705171811,0.453263435751036,0.9353233830845771,False
2,VA,OC,saccade_count,0.396335734963208,8.75,0.42281889755384816,0.5053965856184373,0.5771144278606966,False
2,VA,PMC,saccade_count,0.37569137494841776,14.8,0.43726218735373096,0.5075864951139671,0.6915422885572139,False
2,VA,PreM,saccade_count,0.31682834331525617,13.8,0.3415914696509529,0.38200246109007246,0.9402985074626866,False
2,VA,SSC,saccade_count,0.2887921563569279,13.6,0.3520247992215013,0.3781240882277331,0.9701492537313433,False
2,VA,TC,saccade_count,0.491559683467307,1.15,0.38457973853054944,0.4576502075203574,0.004975124378109453,True
2,VA,Broca,saccade_speed,0.17566754460558692,0.0,0.1995280402664526,0.3017455196690408,0.6019900497512438,False
2,VA,DLPFC,saccade_speed,0.261785799176868,10.1,0.26175961041968243,0.30833458301741146,0.5024875621890548,False
2,VA,FEF,saccade_speed,0.35828215710004635,10.65,0.23955325057436327,0.3239669203061955,0.004975124378109453,True
2,VA,FPA,saccade_speed,0.23439413709989484,10.95,0.25665600736045846,0.3178196741242521,0.6318407960199005,False
2,VA,OC,saccade_speed,0.3569564166856498,11.75,0.27132048546666354,0.3316664364260917,0.004975124378109453,True
2,VA,PMC,saccade_speed,0.2487992439916959,9.15,0.27408930311145907,0.3421082946692158,0.7263681592039801,False
2,VA,PreM,saccade_speed,0.1963624554227302,-5.85,0.24861962912103394,0.29443347671445114,0.8159203980099502,False
2,VA,SSC,saccade_speed,0.17731957987203537,-8.3,0.2415691826724526,0.2811146117943148,1.0,False
2,VA,TC,saccade_speed,0.16941314174320188,4.95,0.16331405763921433,0.2200278437671967,0.46766169154228854,False
2,VA,Broca,saccade_peak_speed,0.3115002902555252,0.0,0.15290983872315106,0.23625599952077225,0.004975124378109453,True
2,VA,DLPFC,saccade_peak_speed,0.2956786593350828,2.7,0.23494119967399668,0.3367852947547057,0.3034825870646766,False
2,VA,FEF,saccade_peak_speed,0.2487137167849494,10.05,0.2126641269713808,0.2806152394271586,0.14925373134328357,False
2,VA,FPA,saccade_peak_speed,0.2210993879248469,9.65,0.24740547241728367,0.29069908946186546,0.7412935323383084,False
2,VA,OC,saccade_peak_speed,0.25466842743000206,2.2,0.2401656299462137,0.30506526789522165,0.4129353233830846,False
2,VA,PMC,saccade_peak_speed,0.20790083704113596,15.0,0.2269553150223953,0.30005157800701787,0.5970149253731343,False
2,VA,PreM,saccade_peak_speed,0.23449606473129375,2.9,0.24755568244462445,0.319020678574664,0.6218905472636815,False
2,VA,SSC,saccade_peak_speed,0.2327589129183937,2.95,0.23184936347639268,0.3032053874831441,0.4975124378109453,False
2,VA,TC,saccade_peak_speed,0.2418259214532227,2.5,0.1628986407587775,0.20485926381538216,0.004975124378109453,True
2,VA,Broca,blink_count,0.7589108672445976,0.0,0.5894177322199694,0.6990355632522859,0.004975124378109453,True
2,VA,DLPFC,blink_count,0.43740020518763334,5.45,0.30446162762912676,0.5031671639839924,0.29850746268656714,False
2,VA,FEF,blink_count,0.5059493604594734,-8.85,0.5812964061334727,0.6344375349423436,0.8905472636815921,False
2,VA,FPA,blink_count,0.4093849701102123,-1.95,0.4434944269047124,0.5109725307253299,0.7562189054726368,False
2,VA,OC,blink_count,0.4800555283776907,-3.1,0.5198894790449524,0.6304729987465525,0.6119402985074627,False
2,VA,PMC,blink_count,0.5135046128666799,5.6,0.5561819515993873,0.6168838021016132,0.746268656716418,False
2,VA,PreM,blink_count,0.4812475457102297,4.35,0.4476528613402223,0.5173587458574961,0.3283582089552239,False
2,VA,SSC,blink_count,0.4457777129107019,4.9,0.430578496650857,0.5057394020650678,0.43781094527363185,False
2,VA,TC,blink_count,0.6737101191728452,-4.5,0.5378556312588053,0.6347941576867678,0.004975124378109453,True
2,VA,Broca,blink_rate,0.5324851747540656,11.55,0.5521461719534863,0.6753448615416379,0.5771144278606966,False
2,VA,DLPFC,blink_rate,0.5942988860338437,13.05,0.45993106934020195,0.5904394523307921,0.04477611940298507,True
2,VA,FEF,blink_rate,0.6627720123306519,6.2,0.5851320272947015,0.6881617644234407,0.1890547263681592,False
2,VA,FPA,blink_rate,0.6641398447765462,6.6,0.5843672547175991,0.6570437157727477,0.04477611940298507,True
2,VA,OC,blink_rate,0.7245536401279432,6.55,0.6115011127446764,0.7050451191808501,0.004975124378109453,True
2,VA,PMC,blink_rate,0.6701603800118839,13.0,0.5928248393260523,0.6548568428344206,0.029850746268656716,True
2,VA,PreM,blink_rate,0.6303330209448045,12.55,0.5930762761833668,0.648648111071999,0.09950248756218906,False
2,VA,SSC,blink_rate,0.5952390715641073,12.6,0.5808291042110646,0.6197767033005328,0.3283582089552239,False
2,VA,TC,blink_rate,0.4790524263497213,1.5,0.5739039044439307,0.6470159236833729,0.945273631840796,False
2,VA,Broca,IPA,0.7589108672445976,0.0,0.5891224488609651,0.7020684891643698,0.004975124378109453,True
2,VA,DLPFC,IPA,0.43740020518763334,5.45,0.302543259707846,0.5014846323307072,0.2537313432835821,False
2,VA,FEF,IPA,0.5059493604594734,-8.85,0.5825855669411661,0.6347739584050287,0.8656716417910447,False
2,VA,FPA,IPA,0.4093849701102123,-1.95,0.4472801006989934,0.5105424502224749,0.7661691542288557,False
2,VA,OC,IPA,0.4800555283776907,-3.1,0.5268121839904242,0.6371524349358234,0.6766169154228856,False
2,VA,PMC,IPA,0.5135046128666799,5.6,0.5576906271018387,0.6124688895843124,0.7810945273631841,False
2,VA,PreM,IPA,0.4812475457102297,4.35,0.46952937374532033,0.5184077757859058,0.4228855721393035,False
2,VA,SSC,IPA,0.4457777129107019,4.9,0.4471082991612785,0.5079302236462362,0.5124378109452736,False
2,VA,TC,IPA,0.6737101191728452,-4.5,0.5385444093382048,0.6433160965961573,0.004975124378109453,True
2,VA,Broca,LHIPA,0.7156969635504701,0.0,0.5644878899000914,0.6930954818411157,0.004975124378109453,True
2,VA,DLPFC,LHIPA,0.4999965408042175,12.55,0.5522272561800835,0.6337511586248145,0.8009950248756219,False
2,VA,FEF,LHIPA,0.5646094188108203,14.55,0.6113839563407005,0.6595356559761728,0.7114427860696517,False
2,VA,FPA,LHIPA,0.6488097516501939,6.0,0.7177438526375806,0.7548627009265486,0.8407960199004975,False
2,VA,OC,LHIPA,0.6988121444303947,6.1,0.6896556820543213,0.8025876414915455,0.46766169154228854,False
2,VA,PMC,LHIPA,0.7385875557666243,12.6,0.7704103909100279,0.831913584494402,0.7064676616915423,False
2,VA,PreM,LHIPA,0.620987016591642,12.55,0.6400197170290871,0.664221709731698,0.681592039800995,False
2,VA,SSC,LHIPA,0.6007729575248903,12.55,0.6452942972443325,0.6921107073388394,0.7810945273631841,False
2,VA,TC,LHIPA,0.8443579679865086,0.0,0.7197899710639926,0.8092284161689214,0.004975124378109453,True
3,EF,Broca,Pupil diameter left smoothed,0.6498835915604504,3.9,0.7045095097776616,0.7752947458578682,0.7014925373134329,False
3,EF,DLPFC,Pupil diameter left smoothed,0.7053109995498773,-1.45,0.6498279913028548,0.7020935876591713,0.03482587064676617,True
3,EF,FEF,Pupil diameter left smoothed,0.7870508328544755,-1.05,0.7261455033132931,0.780824203728187,0.01990049751243781,True
3,EF,FPA,Pupil diameter left smoothed,0.7511677601830178,-3.65,0.6516639089712564,0.7409813699600809,0.014925373134328358,True
3,EF,OC,Pupil diameter left smoothed,0.5926726160407757,-3.6,0.536988293847845,0.5868184686587496,0.004975124378109453,True
3,EF,PMC,Pupil diameter left smoothed,0.7484557418655295,-5.3,0.7208175257640443,0.7622745326427076,0.30845771144278605,False
3,EF,PreM,Pupil diameter left smoothed,0.6856724623572901,-4.95,0.6875793538641395,0.7274960349889936,0.527363184079602,False
3,EF,SSC,Pupil diameter left smoothed,0.7497878265339374,-1.5,0.7239432249589113,0.7734150341197168,0.24875621890547264,False
3,EF,TC,Pupil diameter left smoothed,0.7180426718040125,-3.6,0.6229654316829418,0.7034007856987096,0.014925373134328358,True
3,EF,Broca,Pupil diameter right smoothed,0.5911380543185863,6.15,0.5286565603300596,0.6153792501130072,0.208955223880597,False
3,EF,DLPFC,Pupil diameter right smoothed,0.6289949802987284,-1.5,0.5335658269285413,0.610475377164984,0.004975124378109453,True
3,EF,FEF,Pupil diameter right smoothed,0.6037947413476933,0.7,0.5756629592221659,0.6136509191810945,0.25870646766169153,False
3,EF,FPA,Pupil diameter right smoothed,0.5271535735864336,-1.15,0.49579460350052007,0.6331750439273277,0.3482587064676617,False
3,EF,OC,Pupil diameter right smoothed,0.5228708448780159,-1.9,0.46171901083131683,0.5151705331218642,0.01990049751243781,True
