Task,fNIRS_noOC_mean,fNIRS_noOC_sd,fNIRS_OC_mean,fNIRS_OC_sd,eye_mean,eye_sd
WM,0.08814629353582859,0.02062728829156239,0.0,0.0,0.9118537902832031,0.02062727442540273
SR,0.08465094864368439,0.0044263069910248365,0.0,0.0,0.9153490662574768,0.0044263397951873765
LI,0.4853264093399048,0.03247980694187506,0.0,0.0,0.5146735534071922,0.03247981539658588
EF,0.30856651067733765,0.0022789619034808434,0.0,0.0,0.6914334893226624,0.002278953298889341
VA,0.41534461826086044,0.019714171628327302,0.0,0.0,0.584655374288559,0.019714182152935765
Overall,0.25329402834177017,0.010378918777164924,0.0,0.0,0.746706023812294,0.010378938320508622
